id,predicted_binding_sites,Acc,PPV(Precision),NPV,TPR(Recall),TNR,MCC,ROC AUC,STD,PR AUC,F1,FPR
8dwg_C,,0.7366863905323264,0.7391304347793951,0.7365079365077027,0.16999999999983,0.9747899159659771,0.2624264464750951,0.8505882620811462,0.17374849942198997,0.7070577144622803,0.29032260179519653,0.025210084033602854
7fkg_B,,0.9199999999996934,0.214285714284949,0.9926470588231645,0.749999999990625,0.9246575342462587,0.37364254905013394,0.920376718044281,0.20071280768941624,0.24596183001995087,0.3333333134651184,0.07534246575339885
7u10_A,,0.9999999999992594,0.9999999999992594,,0.9999999999992594,0.0,0.0,,0.0053028461125428925,,,0.0
7wq4_R,,0.6666666666664303,0.24999999999960937,0.7889908256877115,0.25806451612861603,0.7818181818178265,0.03943424049769292,0.5613636374473572,0.20016474083845262,0.2500940263271332,0.2539682388305664,0.21818181818171903
8i1y_A,,0.9171779141101482,0.944444444441821,0.9137931034479608,0.5762711864397012,0.9925093632955084,0.6986764804220688,0.9806703329086304,0.2273525581368369,0.9203479290008545,0.7157894372940063,0.007490636704117045
7wp8_C,,0.8557692307684079,0.8823529411712804,0.8505747126427005,0.5357142857123725,0.9736842105250346,0.6110255679667536,0.8705357313156128,0.21981696167330453,0.7841192483901978,0.6666666269302368,0.026315789473649584
7xq3_A,,0.795081967212463,0.0,0.795081967212463,0.0,0.999999999998969,0.0,0.7090721726417542,0.07602192903775412,0.3466598391532898,0.0,0.0
7za5_B,,0.940594059405475,0.6874999999978515,0.9882352941170658,0.9166666666628472,0.943820224718571,0.7625361385763414,0.9859550595283508,0.3019258271304712,0.910939633846283,0.7857142686843872,0.05617977528086732
8ia4_A,,0.7052631578939944,0.5769230769219674,0.8604651162770687,0.8333333333310184,0.6271186440667337,0.44877194481364074,0.8413370847702026,0.31400246965883516,0.8226841688156128,0.6818181872367859,0.3728813559315714
8or4_B,,0.5675675675660335,0.4230769230752959,0.9090909090826447,0.9166666666590277,0.3999999999984,0.32432465244937575,0.8733333349227905,0.18917522503162446,0.8339075446128845,0.5789473652839661,0.5999999999976
7yag_C,,0.837398373983059,0.6071428571406888,0.9052631578937839,0.6538461538436391,0.8865979381434158,0.5262383523912271,0.8913560509681702,0.23435116800510128,0.6068040728569031,0.6296296715736389,0.1134020618555532
7qvb_A,,0.7990654205603743,0.9428571428544489,0.7709497206699604,0.4459459459453433,0.9857142857135818,0.5550874129999266,0.9259169697761536,0.23882157857094755,0.8902771472930908,0.60550457239151,0.014285714285704083
